length	cima	cima_log
10000	0.109000	0.004000
20000	0.217000	0.003000
30000	0.307000	0.003000
40000	0.431000	0.003000
50000	0.511000	0.003000
60000	0.624000	0.003000
70000	0.736000	0.004000
80000	0.975000	0.004000
90000	1.097000	0.004000
100000	1.204000	0.004000
110000	1.326000	0.004000
120000	1.468000	0.004000
130000	1.566000	0.005000
140000	1.695000	0.004000
150000	1.818000	0.003000
160000	2.046000	0.004000
170000	2.127000	0.004000
180000	2.288000	0.014000
190000	2.365000	0.004000
200000	2.499000	0.004000
210000	2.631000	0.005000
220000	2.811000	0.005000
230000	2.858000	0.005000
240000	3.075000	0.004000
250000	3.187000	0.005000
260000	3.342000	0.004000
270000	3.475000	0.005000
280000	3.502000	0.005000
290000	3.782000	0.005000
300000	3.757000	0.004000
310000	3.771000	0.004000
320000	3.610000	0.004000
330000	3.686000	0.005000
340000	3.830000	0.004000
350000	3.941000	0.004000
360000	3.542000	0.003000
370000	2.858000	0.003000
380000	2.968000	0.003000
390000	2.793000	0.002000
400000	2.376000	0.002000
410000	2.398000	0.002000
420000	2.417000	0.001000
430000	1.979000	0.002000
440000	1.866000	0.001000
450000	2.052000	0.002000
460000	2.206000	0.002000
470000	2.056000	0.002000
480000	2.063000	0.002000
490000	1.922000	0.002000
500000	1.830000	0.001000
510000	2.379000	0.001000
520000	1.697000	0.001000
530000	1.626000	0.001000
540000	1.821000	0.002000
550000	1.935000	0.002000
560000	1.968000	0.001000
570000	1.812000	0.001000
580000	1.839000	0.001000
590000	1.801000	0.001000
600000	1.844000	0.001000
610000	1.913000	0.001000
620000	1.839000	0.001000
630000	1.894000	0.001000
640000	2.000000	0.001000
650000	1.945000	0.001000
660000	2.021000	0.000000
670000	1.821000	0.000000
680000	1.831000	0.001000
690000	1.574000	0.000000
700000	1.714000	0.000000
710000	1.882000	0.001000
720000	1.659000	0.000000
730000	1.710000	0.001000
740000	1.768000	0.001000
750000	2.009000	0.001000
760000	1.879000	0.001000
770000	1.806000	0.000000
780000	1.764000	0.000000
790000	1.777000	0.000000
800000	1.970000	0.001000
810000	1.936000	0.001000
820000	1.859000	0.000000
830000	2.026000	0.001000
840000	1.983000	0.001000
850000	1.916000	0.001000
860000	1.910000	0.001000
870000	1.910000	0.001000
880000	1.949000	0.000000
890000	2.096000	0.001000
900000	2.268000	0.001000
910000	2.371000	0.002000
920000	2.737000	0.001000
930000	2.141000	0.000000
940000	2.113000	0.000000
950000	2.042000	0.001000
960000	2.362000	0.000000
970000	2.222000	0.001000
980000	2.450000	0.001000
990000	2.302000	0.001000
